Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;MAE;MFE;ETD;Bars;
1;MNQ 06-24;APEX-148511-01!Apex!Apex;Basic;Long;1;17283,75;17277,50;22/04/2024 13:16:09;22/04/2024 13:28:30;Entry;Stop2;-13,72 $;-13,72 $;1,22 $;12,50 $;30,50 $;44,22 $;0;
2;MNQ 06-24;APEX-148511-01!Apex!Apex;Basic;Long;1;17283,75;17277,50;22/04/2024 13:16:09;22/04/2024 13:28:30;Entry;Stop1;-13,72 $;-27,44 $;1,22 $;12,50 $;30,50 $;44,22 $;0;
3;MCL 06-24;APEX-148511-01!Apex!Apex;High;Long;1;81,68;81,51;22/04/2024 12:05:17;22/04/2024 13:48:18;Entry;Stop3;-17,00 $;-44,44 $;0,00 $;17,00 $;23,00 $;40,00 $;0;
4;MCL 06-24;APEX-148511-01!Apex!Apex;High;Long;1;81,68;81,51;22/04/2024 12:05:17;22/04/2024 13:48:18;Entry;Stop2;-17,00 $;-61,44 $;0,00 $;17,00 $;23,00 $;40,00 $;0;
5;MCL 06-24;APEX-148511-01!Apex!Apex;High;Long;1;81,68;81,51;22/04/2024 12:05:17;22/04/2024 13:48:18;Entry;Stop1;-17,00 $;-78,44 $;0,00 $;17,00 $;23,00 $;40,00 $;0;
6;MCL 06-24;APEX-148511-01!Apex!Apex;High;Long;1;81,68;81,51;22/04/2024 12:05:17;22/04/2024 13:48:18;Entry;Stop4;-17,00 $;-95,44 $;0,00 $;17,00 $;23,00 $;40,00 $;0;
7;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,2;2352,3;22/04/2024 15:01:15;22/04/2024 15:03:22;Entry;Stop1;-32,52 $;-127,96 $;1,52 $;31,00 $;1,00 $;33,52 $;0;
8;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,3;2352,3;22/04/2024 15:01:15;22/04/2024 15:03:22;Entry;Stop4;-31,52 $;-159,48 $;1,52 $;30,00 $;2,00 $;33,52 $;0;
9;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,3;2352,3;22/04/2024 15:01:15;22/04/2024 15:03:22;Entry;Stop3;-31,52 $;-191,00 $;1,52 $;30,00 $;2,00 $;33,52 $;0;
10;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,3;2352,3;22/04/2024 15:01:15;22/04/2024 15:03:22;Entry;Stop2;-31,52 $;-222,52 $;1,52 $;30,00 $;2,00 $;33,52 $;0;
11;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,4;2352,9;22/04/2024 15:08:34;22/04/2024 15:11:34;Entry;Stop3;-36,52 $;-259,04 $;1,52 $;35,00 $;6,00 $;42,52 $;0;
12;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,4;2352,9;22/04/2024 15:08:34;22/04/2024 15:11:34;Entry;Stop4;-36,52 $;-295,56 $;1,52 $;35,00 $;6,00 $;42,52 $;0;
13;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,5;2352,9;22/04/2024 15:08:34;22/04/2024 15:11:34;Entry;Stop1;-35,52 $;-331,08 $;1,52 $;34,00 $;7,00 $;42,52 $;0;
14;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2349,5;2352,9;22/04/2024 15:08:34;22/04/2024 15:11:34;Entry;Stop2;-35,52 $;-366,60 $;1,52 $;34,00 $;7,00 $;42,52 $;0;
15;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2348,8;2350,4;22/04/2024 17:41:56;22/04/2024 17:46:09;Entry;Stop3;-17,52 $;-384,12 $;1,52 $;16,00 $;13,00 $;30,52 $;0;
16;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2348,8;2350,4;22/04/2024 17:41:56;22/04/2024 17:46:09;Entry;Stop4;-17,52 $;-401,64 $;1,52 $;16,00 $;13,00 $;30,52 $;0;
17;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2348,8;2350,4;22/04/2024 17:41:56;22/04/2024 17:46:09;Entry;Stop1;-17,52 $;-419,16 $;1,52 $;16,00 $;13,00 $;30,52 $;0;
18;MGC 06-24;APEX-148511-01!Apex!Apex;High;Short;1;2348,8;2350,4;22/04/2024 17:41:56;22/04/2024 17:46:09;Entry;Stop2;-17,52 $;-436,68 $;1,52 $;16,00 $;13,00 $;30,52 $;0;
